basket_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,,,
1,shrimp,avocado,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
2,burgers,turkey,tomatoes,,,,,,,,,
3,groundbeef,,,,,,,,,,,
4,soup,cookies,,,,,,,,,,
5,frozenvegetables,pancakes,energybar,oliveoil,honey,,,,,,,
6,mineralwater,,,,,,,,,,,
7,shrimp,avocado,,,,,,,,,,
8,spaghetti,chocolate,milk,,,,,,,,,
9,frenchfries,greentea,burgers,,,,,,,,,
10,turkey,,,,,,,,,,,
11,tomatoes,groundbeef,soup,,,,,,,,,
12,cookies,frozenvegetables,pancakes,,,,,,,,,
13,energybar,oliveoil,honey,mineralwater,eggs,,,,,,,
14,spaghetti,chocolate,,,,,,,,,,
15,milk,frenchfries,,,,,,,,,,
16,greentea,burgers,turkey,tomatoes,,,,,,,,
17,shrimp,avocado,mineralwater,,,,,,,,,
18,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,,,,
19,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
20,cookies,frozenvegetables,pancakes,energybar,,,,,,,,
21,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,,
22,chocolate,milk,frenchfries,,,,,,,,,
23,greentea,burgers,turkey,,,,,,,,,
24,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,oliveoil,honey,,,
25,mineralwater,eggs,,,,,,,,,,
26,spaghetti,chocolate,milk,frenchfries,greentea,burgers,,,,,,
27,turkey,tomatoes,groundbeef,,,,,,,,,
28,soup,cookies,,,,,,,,,,
29,frozenvegetables,pancakes,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,
30,chocolate,,,,,,,,,,,
31,milk,frenchfries,greentea,,,,,,,,,
32,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
33,cookies,frozenvegetables,pancakes,,,,,,,,,
34,energybar,oliveoil,honey,mineralwater,,,,,,,,
35,eggs,spaghetti,,,,,,,,,,
36,chocolate,milk,frenchfries,greentea,burgers,turkey,,,,,,
37,tomatoes,groundbeef,soup,cookies,,,,,,,,
38,frozenvegetables,pancakes,energybar,,,,,,,,,
39,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
40,burgers,,,,,,,,,,,
41,turkey,tomatoes,groundbeef,,,,,,,,,
42,soup,cookies,frozenvegetables,,,,,,,,,
43,pancakes,energybar,oliveoil,honey,,,,,,,,
44,mineralwater,eggs,spaghetti,chocolate,milk,,,,,,,
45,frenchfries,greentea,burgers,,,,,,,,,
46,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,,,
47,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,
48,chocolate,milk,frenchfries,,,,,,,,,
49,greentea,burgers,turkey,tomatoes,,,,,,,,
50,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,,,,,,
51,oliveoil,honey,mineralwater,,,,,,,,,
52,eggs,spaghetti,chocolate,milk,frenchfries,greentea,burgers,turkey,tomatoes,,,
53,groundbeef,soup,cookies,,,,,,,,,
54,frozenvegetables,pancakes,energybar,oliveoil,honey,,,,,,,
55,mineralwater,eggs,spaghetti,,,,,,,,,
56,chocolate,milk,frenchfries,greentea,,,,,,,,
57,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,,,
58,oliveoil,honey,mineralwater,eggs,,,,,,,,
59,spaghetti,chocolate,milk,frenchfries,greentea,burgers,,,,,,
60,turkey,tomatoes,groundbeef,soup,,,,,,,,
61,cookies,frozenvegetables,pancakes,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,
62,chocolate,milk,frenchfries,,,,,,,,,
63,greentea,burgers,turkey,,,,,,,,,
64,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,,,,,
65,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
66,burgers,turkey,tomatoes,groundbeef,soup,cookies,,,,,,
67,frozenvegetables,pancakes,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,
68,chocolate,milk,frenchfries,greentea,burgers,turkey,tomatoes,groundbeef,soup,,,
69,cookies,frozenvegetables,pancakes,energybar,,,,,,,,
70,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,,
71,chocolate,milk,frenchfries,greentea,burgers,,,,,,,
72,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,oliveoil,,,
73,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,burgers,,,
74,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,,,
75,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
76,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
77,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
78,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
79,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
80,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
81,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
82,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
83,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
84,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
85,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
86,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
87,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
88,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
89,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
90,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
91,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
92,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
93,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
94,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
95,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
96,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
97,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
98,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
99,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
100,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
101,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
102,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
103,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
104,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
105,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
106,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
107,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
108,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
109,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
110,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
111,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
112,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
113,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
114,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
115,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
116,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
117,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
118,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
119,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
120,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
121,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
122,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
123,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
124,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
125,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
126,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
127,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
128,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
129,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
130,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
131,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
132,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
133,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
134,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
135,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
136,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
137,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
138,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
139,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
140,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
141,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
142,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
143,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
144,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
145,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
146,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
147,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
148,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,
149,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,,,
150,greentea,burgers,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,