user_id,supermarket_id,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad9,ad10
757c8703-3bef-437a-af20-e45762596aee,42,1,0,0,0,1,0,0,0,1,0
757c8703-3bef-437a-af20-e45762596aee,17,0,0,0,0,0,0,0,0,1,0
757c8703-3bef-437a-af20-e45762596aee,33,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,29,0,1,0,0,0,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,5,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,46,1,1,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,12,0,0,0,1,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,38,1,1,0,0,1,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,21,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,9,0,0,1,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,14,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,27,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,35,0,0,0,1,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,3,0,0,0,0,0,0,0,0,1,0
757c8703-3bef-437a-af20-e45762596aee,19,0,0,0,0,0,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,41,0,0,0,0,1,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,8,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,26,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,15,0,0,0,0,0,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,31,0,0,0,0,0,0,0,0,1,0
757c8703-3bef-437a-af20-e45762596aee,44,0,1,0,0,0,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,6,0,0,0,0,1,0,0,0,0,1
757c8703-3bef-437a-af20-e45762596aee,23,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,11,0,0,0,0,0,0,0,1,1,0
757c8703-3bef-437a-af20-e45762596aee,48,0,0,0,0,1,0,1,1,0,0
757c8703-3bef-437a-af20-e45762596aee,2,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,39,0,1,0,0,1,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,16,0,1,0,1,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,30,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,7,0,0,0,0,1,0,0,1,1,0
757c8703-3bef-437a-af20-e45762596aee,45,1,0,0,0,1,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,20,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,34,0,0,0,0,0,0,0,0,0,1
757c8703-3bef-437a-af20-e45762596aee,13,0,0,0,1,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,28,0,0,0,0,0,1,0,1,1,0
757c8703-3bef-437a-af20-e45762596aee,4,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,40,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,18,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,25,0,0,0,1,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,47,0,0,0,0,1,0,1,1,0,0
757c8703-3bef-437a-af20-e45762596aee,10,0,0,0,0,1,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,36,0,0,0,0,1,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,22,0,0,0,0,0,0,0,1,0,0
757c8703-3bef-437a-af20-e45762596aee,43,0,0,0,0,1,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,1,0,0,0,0,0,0,1,0,0,0
757c8703-3bef-437a-af20-e45762596aee,32,0,0,0,0,1,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,24,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,49,0,0,0,0,0,0,0,0,0,0
757c8703-3bef-437a-af20-e45762596aee,37,0,1,0,0,0,0,0,1,0,0
,,,,,,,,,,,
,,,,,,,,,,,